rcp,level,seg,costtype,time,value
rcp85_p208,retreat10,NA,storms,7,0
rcp85_p209,retreat10,NA,stormCapital,7,0
rcp85_p210,retreat10,NA,stormPopulation,7,0
rcp85_p211,retreat10,NA,total,7,0
rcp85_p212,retreat10,NA,inundation,8,0
rcp85_p213,retreat10,NA,relocation,8,0
rcp85_p214,retreat10,NA,storms,8,0
rcp85_p215,retreat10,NA,stormCapital,8,0
rcp85_p216,retreat10,NA,stormPopulation,8,0
rcp85_p217,retreat10,NA,total,8,0
rcp85_p218,retreat10,NA,inundation,9,0
rcp85_p219,retreat10,NA,relocation,9,0
rcp85_p220,retreat10,NA,storms,9,0
rcp85_p221,retreat10,NA,stormCapital,9,0
rcp85_p222,retreat10,NA,stormPopulation,9,0
rcp85_p223,retreat10,NA,total,9,0
rcp85_p224,retreat10,NA,inundation,10,0
rcp85_p225,retreat10,NA,relocation,10,0
rcp85_p226,retreat10,NA,storms,10,0
rcp85_p227,retreat10,NA,stormCapital,10,0
rcp85_p228,retreat10,NA,stormPopulation,10,0
rcp85_p229,retreat10,NA,total,10,0
rcp85_p230,retreat10,NA,inundation,11,0
rcp85_p231,retreat10,NA,relocation,11,0
rcp85_p232,retreat10,NA,storms,11,0
rcp85_p233,retreat10,NA,stormCapital,11,0
rcp85_p234,retreat10,NA,stormPopulation,11,0
rcp85_p235,retreat10,NA,total,11,0
rcp85_p236,retreat10,NA,inundation,12,0
rcp85_p237,retreat10,NA,relocation,12,0
rcp85_p238,retreat10,NA,storms,12,0
rcp85_p239,retreat10,NA,stormCapital,12,0
rcp85_p240,retreat10,NA,stormPopulation,12,0
rcp85_p241,retreat10,NA,total,12,0
rcp85_p242,retreat10,NA,inundation,13,0
rcp85_p243,retreat10,NA,relocation,13,0
rcp85_p244,retreat10,NA,storms,13,0
rcp85_p245,retreat10,NA,stormCapital,13,0
rcp85_p246,retreat10,NA,stormPopulation,13,0
rcp85_p247,retreat10,NA,total,13,0
rcp85_p248,retreat10,NA,inundation,14,0
rcp85_p249,retreat10,NA,relocation,14,0
rcp85_p250,retreat10,NA,storms,14,0
rcp85_p251,retreat10,NA,stormCapital,14,0
rcp85_p252,retreat10,NA,stormPopulation,14,0
rcp85_p253,retreat10,NA,total,14,0
rcp85_p254,retreat10,NA,inundation,15,0
rcp85_p255,retreat10,NA,relocation,15,0
rcp85_p256,retreat10,NA,storms,15,0
rcp85_p257,retreat10,NA,stormCapital,15,0
rcp85_p258,retreat10,NA,stormPopulation,15,0
rcp85_p259,retreat10,NA,total,15,0
rcp85_p260,retreat10,NA,inundation,16,0
rcp85_p261,retreat10,NA,relocation,16,0
rcp85_p262,retreat10,NA,storms,16,0
rcp85_p263,retreat10,NA,stormCapital,16,0
rcp85_p264,retreat10,NA,stormPopulation,16,0
rcp85_p265,retreat10,NA,total,16,0
rcp85_p266,retreat10,NA,inundation,17,0
rcp85_p267,retreat10,NA,relocation,17,0
rcp85_p268,retreat10,NA,storms,17,0
rcp85_p269,retreat10,NA,stormCapital,17,0
rcp85_p270,retreat10,NA,stormPopulation,17,0
rcp85_p271,retreat10,NA,total,17,0
rcp85_p272,retreat10,NA,inundation,18,0
rcp85_p273,retreat10,NA,relocation,18,0
rcp85_p274,retreat10,NA,storms,18,0
rcp85_p275,retreat10,NA,stormCapital,18,0
rcp85_p276,retreat10,NA,stormPopulation,18,0
rcp85_p277,retreat10,NA,total,18,0
rcp85_p278,retreat10,NA,inundation,19,0
rcp85_p279,retreat10,NA,relocation,19,0
rcp85_p280,retreat10,NA,storms,19,0
rcp85_p281,retreat10,NA,stormCapital,19,0
rcp85_p282,retreat10,NA,stormPopulation,19,0
rcp85_p283,retreat10,NA,total,19,0
rcp85_p284,retreat10,NA,inundation,20,0
rcp85_p285,retreat10,NA,relocation,20,0
rcp85_p286,retreat10,NA,storms,20,0
rcp85_p287,retreat10,NA,stormCapital,20,0
rcp85_p288,retreat10,NA,stormPopulation,20,0
rcp85_p289,retreat10,NA,total,20,0
rcp85_p290,retreat100,NA,inundation,1,0
rcp85_p291,retreat100,NA,relocation,1,0
rcp85_p292,retreat100,NA,storms,1,0
rcp85_p293,retreat100,NA,stormCapital,1,0
rcp85_p294,retreat100,NA,stormPopulation,1,0
rcp85_p295,retreat100,NA,total,1,0
rcp85_p296,retreat100,NA,inundation,2,0
rcp85_p297,retreat100,NA,relocation,2,0
rcp85_p298,retreat100,NA,storms,2,0
rcp85_p299,retreat100,NA,stormCapital,2,0
rcp85_p300,retreat100,NA,stormPopulation,2,0
rcp85_p301,retreat100,NA,total,2,0
rcp85_p302,retreat100,NA,inundation,3,0
rcp85_p303,retreat100,NA,relocation,3,0
rcp85_p304,retreat100,NA,storms,3,0
rcp85_p305,retreat100,NA,stormCapital,3,0
rcp85_p306,retreat100,NA,stormPopulation,3,0
rcp85_p307,retreat100,NA,total,3,0
rcp85_p308,retreat100,NA,inundation,4,0
rcp85_p309,retreat100,NA,relocation,4,0
rcp85_p310,retreat100,NA,storms,4,0
rcp85_p311,retreat100,NA,stormCapital,4,0
rcp85_p312,retreat100,NA,stormPopulation,4,0
rcp85_p313,retreat100,NA,total,4,0
rcp85_p314,retreat100,NA,inundation,5,0
rcp85_p315,retreat100,NA,relocation,5,0
rcp85_p316,retreat100,NA,storms,5,0
rcp85_p317,retreat100,NA,stormCapital,5,0
rcp85_p318,retreat100,NA,stormPopulation,5,0
rcp85_p319,retreat100,NA,total,5,0
rcp85_p320,retreat100,NA,inundation,6,0
rcp85_p321,retreat100,NA,relocation,6,0
rcp85_p322,retreat100,NA,storms,6,0
rcp85_p323,retreat100,NA,stormCapital,6,0
rcp85_p324,retreat100,NA,stormPopulation,6,0
rcp85_p325,retreat100,NA,total,6,0
rcp85_p326,retreat100,NA,inundation,7,0
rcp85_p327,retreat100,NA,relocation,7,0
rcp85_p328,retreat100,NA,storms,7,0
rcp85_p329,retreat100,NA,stormCapital,7,0
rcp85_p330,retreat100,NA,stormPopulation,7,0
rcp85_p331,retreat100,NA,total,7,0
rcp85_p332,retreat100,NA,inundation,8,0
rcp85_p333,retreat100,NA,relocation,8,0
rcp85_p334,retreat100,NA,storms,8,0
rcp85_p335,retreat100,NA,stormCapital,8,0
rcp85_p336,retreat100,NA,stormPopulation,8,0
rcp85_p337,retreat100,NA,total,8,0
rcp85_p338,retreat100,NA,inundation,9,0
rcp85_p339,retreat100,NA,relocation,9,0
rcp85_p340,retreat100,NA,storms,9,0
rcp85_p341,retreat100,NA,stormCapital,9,0
rcp85_p342,retreat100,NA,stormPopulation,9,0
rcp85_p343,retreat100,NA,total,9,0
rcp85_p344,retreat100,NA,inundation,10,0
rcp85_p345,retreat100,NA,relocation,10,0
rcp85_p346,retreat100,NA,storms,10,0
rcp85_p347,retreat100,NA,stormCapital,10,0
rcp85_p348,retreat100,NA,stormPopulation,10,0
rcp85_p349,retreat100,NA,total,10,0
rcp85_p350,retreat100,NA,inundation,11,0
rcp85_p351,retreat100,NA,relocation,11,0
rcp85_p352,retreat100,NA,storms,11,0
rcp85_p353,retreat100,NA,stormCapital,11,0
rcp85_p354,retreat100,NA,stormPopulation,11,0
rcp85_p355,retreat100,NA,total,11,0
rcp85_p356,retreat100,NA,inundation,12,0
rcp85_p357,retreat100,NA,relocation,12,0
rcp85_p358,retreat100,NA,storms,12,0
rcp85_p359,retreat100,NA,stormCapital,12,0
rcp85_p360,retreat100,NA,stormPopulation,12,0
rcp85_p361,retreat100,NA,total,12,0
rcp85_p362,retreat100,NA,inundation,13,0
rcp85_p363,retreat100,NA,relocation,13,0
rcp85_p364,retreat100,NA,storms,13,0
rcp85_p365,retreat100,NA,stormCapital,13,0
rcp85_p366,retreat100,NA,stormPopulation,13,0
rcp85_p367,retreat100,NA,total,13,0
rcp85_p368,retreat100,NA,inundation,14,0
rcp85_p369,retreat100,NA,relocation,14,0
rcp85_p370,retreat100,NA,storms,14,0
rcp85_p371,retreat100,NA,stormCapital,14,0
rcp85_p372,retreat100,NA,stormPopulation,14,0
rcp85_p373,retreat100,NA,total,14,0
rcp85_p374,retreat100,NA,inundation,15,0
rcp85_p375,retreat100,NA,relocation,15,0
rcp85_p376,retreat100,NA,storms,15,0
rcp85_p377,retreat100,NA,stormCapital,15,0
rcp85_p378,retreat100,NA,stormPopulation,15,0
rcp85_p379,retreat100,NA,total,15,0
rcp85_p380,retreat100,NA,inundation,16,0
rcp85_p381,retreat100,NA,relocation,16,0
rcp85_p382,retreat100,NA,storms,16,0
rcp85_p383,retreat100,NA,stormCapital,16,0
rcp85_p384,retreat100,NA,stormPopulation,16,0
rcp85_p385,retreat100,NA,total,16,0
rcp85_p386,retreat100,NA,inundation,17,0
rcp85_p387,retreat100,NA,relocation,17,0
rcp85_p388,retreat100,NA,storms,17,0
rcp85_p389,retreat100,NA,stormCapital,17,0
rcp85_p390,retreat100,NA,stormPopulation,17,0
rcp85_p391,retreat100,NA,total,17,0
rcp85_p392,retreat100,NA,inundation,18,0
rcp85_p393,retreat100,NA,relocation,18,0
rcp85_p394,retreat100,NA,storms,18,0
rcp85_p395,retreat100,NA,stormCapital,18,0
rcp85_p396,retreat100,NA,stormPopulation,18,0
rcp85_p397,retreat100,NA,total,18,0
rcp85_p398,retreat100,NA,inundation,19,0
rcp85_p399,retreat100,NA,relocation,19,0
rcp85_p400,retreat100,NA,storms,19,0
rcp85_p401,retreat100,NA,stormCapital,19,0
rcp85_p402,retreat100,NA,stormPopulation,19,0
rcp85_p403,retreat100,NA,total,19,0
rcp85_p404,retreat100,NA,inundation,20,0
rcp85_p405,retreat100,NA,relocation,20,0
rcp85_p406,retreat100,NA,storms,20,0
rcp85_p407,retreat100,NA,stormCapital,20,0
rcp85_p408,retreat100,NA,stormPopulation,20,0
rcp85_p409,retreat100,NA,total,20,0
rcp85_p410,retreat1000,NA,inundation,1,0
rcp85_p411,retreat1000,NA,relocation,1,0
rcp85_p412,retreat1000,NA,storms,1,0
rcp85_p413,retreat1000,NA,stormCapital,1,0
rcp85_p414,retreat1000,NA,stormPopulation,1,0
rcp85_p415,retreat1000,NA,total,1,0
rcp85_p416,retreat1000,NA,inundation,2,0
rcp85_p417,retreat1000,NA,relocation,2,0
rcp85_p418,retreat1000,NA,storms,2,0
rcp85_p419,retreat1000,NA,stormCapital,2,0
rcp85_p420,retreat1000,NA,stormPopulation,2,0
rcp85_p421,retreat1000,NA,total,2,0
rcp85_p422,retreat1000,NA,inundation,3,0
rcp85_p423,retreat1000,NA,relocation,3,0
rcp85_p424,retreat1000,NA,storms,3,0
rcp85_p425,retreat1000,NA,stormCapital,3,0
rcp85_p426,retreat1000,NA,stormPopulation,3,0
rcp85_p427,retreat1000,NA,total,3,0
rcp85_p428,retreat1000,NA,inundation,4,0
rcp85_p429,retreat1000,NA,relocation,4,0
rcp85_p430,retreat1000,NA,storms,4,0
rcp85_p431,retreat1000,NA,stormCapital,4,0
rcp85_p432,retreat1000,NA,stormPopulation,4,0
rcp85_p433,retreat1000,NA,total,4,0
rcp85_p434,retreat1000,NA,inundation,5,0
rcp85_p435,retreat1000,NA,relocation,5,0
rcp85_p436,retreat1000,NA,storms,5,0
rcp85_p437,retreat1000,NA,stormCapital,5,0
rcp85_p438,retreat1000,NA,stormPopulation,5,0
rcp85_p439,retreat1000,NA,total,5,0
rcp85_p440,retreat1000,NA,inundation,6,0
rcp85_p441,retreat1000,NA,relocation,6,0
rcp85_p442,retreat1000,NA,storms,6,0
rcp85_p443,retreat1000,NA,stormCapital,6,0
rcp85_p444,retreat1000,NA,stormPopulation,6,0
rcp85_p445,retreat1000,NA,total,6,0
rcp85_p446,retreat1000,NA,inundation,7,0
rcp85_p447,retreat1000,NA,relocation,7,0
rcp85_p448,retreat1000,NA,storms,7,0
rcp85_p449,retreat1000,NA,stormCapital,7,0
rcp85_p450,retreat1000,NA,stormPopulation,7,0
rcp85_p451,retreat1000,NA,total,7,0
rcp85_p452,retreat1000,NA,inundation,8,0
rcp85_p453,retreat1000,NA,relocation,8,0
rcp85_p454,retreat1000,NA,storms,8,0
rcp85_p455,retreat1000,NA,stormCapital,8,0
rcp85_p456,retreat1000,NA,stormPopulation,8,0
rcp85_p457,retreat1000,NA,total,8,0
rcp85_p458,retreat1000,NA,inundation,9,0
rcp85_p459,retreat1000,NA,relocation,9,0
rcp85_p460,retreat1000,NA,storms,9,0
rcp85_p461,retreat1000,NA,stormCapital,9,0
rcp85_p462,retreat1000,NA,stormPopulation,9,0
rcp85_p463,retreat1000,NA,total,9,0
rcp85_p464,retreat1000,NA,inundation,10,0
rcp85_p465,retreat1000,NA,relocation,10,0
rcp85_p466,retreat1000,NA,storms,10,0
rcp85_p467,retreat1000,NA,stormCapital,10,0
rcp85_p468,retreat1000,NA,stormPopulation,10,0
rcp85_p469,retreat1000,NA,total,10,0
rcp85_p470,retreat1000,NA,inundation,11,0
rcp85_p471,retreat1000,NA,relocation,11,0
rcp85_p472,retreat1000,NA,storms,11,0
rcp85_p473,retreat1000,NA,stormCapital,11,0
rcp85_p474,retreat1000,NA,stormPopulation,11,0
rcp85_p475,retreat1000,NA,total,11,0
rcp85_p476,retreat1000,NA,inundation,12,0
rcp85_p477,retreat1000,NA,relocation,12,0
rcp85_p478,retreat1000,NA,storms,12,0
rcp85_p479,retreat1000,NA,stormCapital,12,0
rcp85_p480,retreat1000,NA,stormPopulation,12,0
rcp85_p481,retreat1000,NA,total,12,0
rcp85_p482,retreat1000,NA,inundation,13,0
rcp85_p483,retreat1000,NA,relocation,13,0
rcp85_p484,retreat1000,NA,storms,13,0
rcp85_p485,retreat1000,NA,stormCapital,13,0
rcp85_p486,retreat1000,NA,stormPopulation,13,0
rcp85_p487,retreat1000,NA,total,13,0
rcp85_p488,retreat1000,NA,inundation,14,0
rcp85_p489,retreat1000,NA,relocation,14,0
rcp85_p490,retreat1000,NA,storms,14,0
rcp85_p491,retreat1000,NA,stormCapital,14,0
rcp85_p492,retreat1000,NA,stormPopulation,14,0
rcp85_p493,retreat1000,NA,total,14,0
rcp85_p494,retreat1000,NA,inundation,15,0
rcp85_p495,retreat1000,NA,relocation,15,0
rcp85_p496,retreat1000,NA,storms,15,0
rcp85_p497,retreat1000,NA,stormCapital,15,0
rcp85_p498,retreat1000,NA,stormPopulation,15,0
rcp85_p499,retreat1000,NA,total,15,0
rcp85_p500,retreat1000,NA,inundation,16,0
rcp85_p501,retreat1000,NA,relocation,16,0
rcp85_p502,retreat1000,NA,storms,16,0
rcp85_p503,retreat1000,NA,stormCapital,16,0
rcp85_p504,retreat1000,NA,stormPopulation,16,0
rcp85_p505,retreat1000,NA,total,16,0
rcp85_p506,retreat1000,NA,inundation,17,0
rcp85_p507,retreat1000,NA,relocation,17,0
rcp85_p508,retreat1000,NA,storms,17,0
rcp85_p509,retreat1000,NA,stormCapital,17,0
rcp85_p510,retreat1000,NA,stormPopulation,17,0
rcp85_p511,retreat1000,NA,total,17,0
rcp85_p512,retreat1000,NA,inundation,18,0
rcp85_p513,retreat1000,NA,relocation,18,0
rcp85_p514,retreat1000,NA,storms,18,0
rcp85_p515,retreat1000,NA,stormCapital,18,0
rcp85_p516,retreat1000,NA,stormPopulation,18,0
rcp85_p517,retreat1000,NA,total,18,0
rcp85_p518,retreat1000,NA,inundation,19,0
rcp85_p519,retreat1000,NA,relocation,19,0
rcp85_p520,retreat1000,NA,storms,19,0
rcp85_p521,retreat1000,NA,stormCapital,19,0
rcp85_p522,retreat1000,NA,stormPopulation,19,0
rcp85_p523,retreat1000,NA,total,19,0
rcp85_p524,retreat1000,NA,inundation,20,0
rcp85_p525,retreat1000,NA,relocation,20,0
rcp85_p526,retreat1000,NA,storms,20,0
rcp85_p527,retreat1000,NA,stormCapital,20,0
rcp85_p528,retreat1000,NA,stormPopulation,20,0
rcp85_p529,retreat1000,NA,total,20,0
rcp85_p530,retreat10000,NA,inundation,1,0
rcp85_p531,retreat10000,NA,relocation,1,0
rcp85_p532,retreat10000,NA,storms,1,0
rcp85_p533,retreat10000,NA,stormCapital,1,0
rcp85_p534,retreat10000,NA,stormPopulation,1,0
rcp85_p535,retreat10000,NA,total,1,0
rcp85_p536,retreat10000,NA,inundation,2,0
rcp85_p537,retreat10000,NA,relocation,2,0
rcp85_p538,retreat10000,NA,storms,2,0
rcp85_p539,retreat10000,NA,stormCapital,2,0
rcp85_p540,retreat10000,NA,stormPopulation,2,0
rcp85_p541,retreat10000,NA,total,2,0
rcp85_p542,retreat10000,NA,inundation,3,0
rcp85_p543,retreat10000,NA,relocation,3,0
rcp85_p544,retreat10000,NA,storms,3,0
rcp85_p545,retreat10000,NA,stormCapital,3,0
rcp85_p546,retreat10000,NA,stormPopulation,3,0
rcp85_p547,retreat10000,NA,total,3,0
rcp85_p548,retreat10000,NA,inundation,4,0
rcp85_p549,retreat10000,NA,relocation,4,0
rcp85_p550,retreat10000,NA,storms,4,0
rcp85_p551,retreat10000,NA,stormCapital,4,0
rcp85_p552,retreat10000,NA,stormPopulation,4,0
rcp85_p553,retreat10000,NA,total,4,0
rcp85_p554,retreat10000,NA,inundation,5,0
rcp85_p555,retreat10000,NA,relocation,5,0
rcp85_p556,retreat10000,NA,storms,5,0
rcp85_p557,retreat10000,NA,stormCapital,5,0
rcp85_p558,retreat10000,NA,stormPopulation,5,0
rcp85_p559,retreat10000,NA,total,5,0
rcp85_p560,retreat10000,NA,inundation,6,0
rcp85_p561,retreat10000,NA,relocation,6,0
rcp85_p562,retreat10000,NA,storms,6,0
rcp85_p563,retreat10000,NA,stormCapital,6,0
rcp85_p564,retreat10000,NA,stormPopulation,6,0
rcp85_p565,retreat10000,NA,total,6,0
rcp85_p566,retreat10000,NA,inundation,7,0
rcp85_p567,retreat10000,NA,relocation,7,0
rcp85_p568,retreat10000,NA,storms,7,0
rcp85_p569,retreat10000,NA,stormCapital,7,0
rcp85_p570,retreat10000,NA,stormPopulation,7,0
rcp85_p571,retreat10000,NA,total,7,0
rcp85_p572,retreat10000,NA,inundation,8,0
rcp85_p573,retreat10000,NA,relocation,8,0
rcp85_p574,retreat10000,NA,storms,8,0
rcp85_p575,retreat10000,NA,stormCapital,8,0
rcp85_p576,retreat10000,NA,stormPopulation,8,0
rcp85_p577,retreat10000,NA,total,8,0
rcp85_p578,retreat10000,NA,inundation,9,0
rcp85_p579,retreat10000,NA,relocation,9,0
rcp85_p580,retreat10000,NA,storms,9,0
rcp85_p581,retreat10000,NA,stormCapital,9,0
rcp85_p582,retreat10000,NA,stormPopulation,9,0
rcp85_p583,retreat10000,NA,total,9,0
rcp85_p584,retreat10000,NA,inundation,10,0
rcp85_p585,retreat10000,NA,relocation,10,0
rcp85_p586,retreat10000,NA,storms,10,0
rcp85_p587,retreat10000,NA,stormCapital,10,0
rcp85_p588,retreat10000,NA,stormPopulation,10,0
rcp85_p589,retreat10000,NA,total,10,0
rcp85_p590,retreat10000,NA,inundation,11,0
rcp85_p591,retreat10000,NA,relocation,11,0
rcp85_p592,retreat10000,NA,storms,11,0
rcp85_p593,retreat10000,NA,stormCapital,11,0
rcp85_p594,retreat10000,NA,stormPopulation,11,0
rcp85_p595,retreat10000,NA,total,11,0
rcp85_p596,retreat10000,NA,inundation,12,0
rcp85_p597,retreat10000,NA,relocation,12,0
rcp85_p598,retreat10000,NA,storms,12,0
rcp85_p599,retreat10000,NA,stormCapital,12,0
rcp85_p600,retreat10000,NA,stormPopulation,12,0
rcp85_p601,retreat10000,NA,total,12,0
rcp85_p602,retreat10000,NA,inundation,13,0
rcp85_p603,retreat10000,NA,relocation,13,0
rcp85_p604,retreat10000,NA,storms,13,0
rcp85_p605,retreat10000,NA,stormCapital,13,0
rcp85_p606,retreat10000,NA,stormPopulation,13,0
rcp85_p607,retreat10000,NA,total,13,0
rcp85_p608,retreat10000,NA,inundation,14,0
rcp85_p609,retreat10000,NA,relocation,14,0
rcp85_p610,retreat10000,NA,storms,14,0
rcp85_p611,retreat10000,NA,stormCapital,14,0
rcp85_p612,retreat10000,NA,stormPopulation,14,0
rcp85_p613,retreat10000,NA,total,14,0
rcp85_p614,retreat10000,NA,inundation,15,0
