segments,variable,value
Ireland8519,R,0.16277
Ireland8520,R,0.42777
Ireland8521,R,0.30977
Ireland8522,R,0.15977
Ireland8523,R,0.24377
Ireland8524,R,0.24477
Ireland8525,R,0.50477
Ireland8526,R,0.20477
Ireland8489,R,0.241367
Ireland8490,R,0.272367
Ireland8498,R,0.164367
RussianFederation11813,R,0.0041046
Sweden9129,R,0.157589
UnitedStates4979,R,0.3100552
UnitedStates4983,R,0.0020552
UnitedStates3420,R,0.033407
UnitedStates3423,R,0.404407
UnitedStates3421,R,0.149407
UnitedStates3422,R,0.406407
UnitedStates3424,R,0.476407
UnitedStates5033,R,0.243842
UnitedStates5034,R,0.412842
UnitedStates5035,R,0.259842
UnitedStates5025,R,0.518389
UnitedStates5026,R,0
UnitedStates5027,R,0.394389
UnitedStates5055,R,0.445577
UnitedStates5064,R,0.314597
UnitedStates5066,R,0.254597
UnitedStates5067,R,0.227597
UnitedStates5070,R,0.211597
UnitedStates5072,R,0.537597
UnitedStates5073,R,0.614597
UnitedStates5075,R,0.129597
UnitedStates5076,R,0.290597
UnitedStates5077,R,0.332597
UnitedStates5078,R,0.222597
UnitedStates5079,R,0.225597
UnitedStates5086,R,0.273597
UnitedStates5087,R,0.278597
UnitedStates5088,R,0.122597
UnitedStates5089,R,0.108597
UnitedStates5090,R,0.379597
FrenchPolynesia6345,R,0.22211536
FrenchPolynesia6347,R,0.26111536
FrenchPolynesia6348,R,0.39711536
France5516,R,0.0061643
France5529,R,0.2151643
FrenchPolynesia6357,R,0.45611536
FrenchPolynesia6361,R,0.22711536
FrenchPolynesia6362,R,0.22711536
FrenchPolynesia6363,R,0.22711536
FrenchPolynesia6364,R,0.34311536
FrenchPolynesia6365,R,0.32711536
FrenchPolynesia6366,R,0.16411536
FrenchPolynesia6367,R,0.36011536
FrenchPolynesia6368,R,0.36011536
FrenchPolynesia6369,R,0.33711536
FrenchPolynesia6372,R,0.37111536
FrenchPolynesia6375,R,0.21511536
FrenchPolynesia6376,R,0.32511536
FrenchPolynesia6377,R,0.21511536
FrenchPolynesia6378,R,0.28711536
FrenchPolynesia6381,R,0.33211536
FrenchPolynesia6384,R,0.32111536
FrenchPolynesia6385,R,0.32811536
FrenchPolynesia6386,R,0.23211536
FrenchPolynesia6388,R,0.36911536
FrenchPolynesia6389,R,0.46211536
FrenchPolynesia6390,R,0.33311536
FrenchPolynesia6392,R,0.33011536
FrenchPolynesia6393,R,0.21111536
FrenchPolynesia6396,R,0.32711536
FrenchPolynesia6410,R,0.21111536
FrenchPolynesia6411,R,0.21211536
FrenchPolynesia6412,R,0.21111536
FrenchPolynesia6413,R,0.31711536
FrenchPolynesia6427,R,0.36311536
FrenchPolynesia6428,R,0.21311536
FrenchPolynesia6430,R,0.33311536
FrenchPolynesia6432,R,0.47311536
FrenchPolynesia6434,R,0.42711536
FrenchPolynesia6436,R,0.46411536
FrenchPolynesia6438,R,0.30411536
FrenchPolynesia6440,R,0.30411536
FrenchPolynesia6441,R,0.30411536
FrenchPolynesia6444,R,0.34611536
FrenchPolynesia6445,R,0.22911536
FrenchPolynesia6446,R,0.21711536
FrenchPolynesia6447,R,0.21611536
FrenchPolynesia6448,R,0.32511536
FrenchPolynesia6449,R,0.21511536
FrenchPolynesia6450,R,0.76111536
FrenchPolynesia6459,R,0.49111536
FrenchPolynesia6461,R,0.38011536
FrenchPolynesia6471,R,0.32011536
FrenchPolynesia6476,R,0.10811536
FrenchPolynesia6478,R,0.11511536
FrenchPolynesia6484,R,0.12311536
FrenchPolynesia6489,R,0.25011536
FrenchPolynesia6494,R,0.10511536
FrenchPolynesia6498,R,0.31811536
FrenchPolynesia6501,R,0.32611536
FrenchPolynesia6519,R,0.45311536
FrenchPolynesia6520,R,0.38711536
FrenchPolynesia6521,R,0.25511536
FrenchPolynesia6522,R,0.25511536
FrenchPolynesia6523,R,0.25511536
FrenchPolynesia6524,R,0.38811536
FrenchPolynesia6525,R,0.38811536
FrenchPolynesia6526,R,0.25511536
FrenchPolynesia6527,R,0.26311536
FrenchPolynesia6528,R,0.12811536
FrenchPolynesia6529,R,0.26211536
FrenchPolynesia6530,R,0.38811536
FrenchPolynesia6531,R,3.36711536
FrenchPolynesia6532,R,0.34711536
FrenchPolynesia6533,R,0.31711536
FrenchPolynesia6534,R,0.31711536
FrenchPolynesia6536,R,0.49511536
FrenchPolynesia6537,R,3.32211536
FrenchPolynesia6538,R,0.32311536
FrenchPolynesia6539,R,3.32011536
FrenchPolynesia6540,R,3.31611536
FrenchPolynesia6541,R,3.31811536
FrenchPolynesia6543,R,0.27011536
FrenchPolynesia6544,R,0.30711536
FrenchPolynesia6545,R,0.18211536
FrenchPolynesia6547,R,0.40811536
FrenchPolynesia6549,R,0.32711536
FrenchPolynesia6552,R,0.22511536
FrenchPolynesia6553,R,0.25911536
FrenchPolynesia6554,R,0.21811536
FrenchPolynesia6555,R,0.21511536
FrenchPolynesia6556,R,0.32511536
FrenchPolynesia6560,R,0.10811536
FrenchPolynesia6565,R,0.21211536
FrenchPolynesia6568,R,0.22511536
FrenchPolynesia6569,R,0.21011536
FrenchPolynesia6570,R,0.12211536
FrenchPolynesia6571,R,0.32011536
FrenchPolynesia6573,R,0.21411536
FrenchPolynesia6574,R,0.21311536
FrenchPolynesia6577,R,0.34811536
FrenchPolynesia6578,R,0.22211536
FrenchPolynesia6579,R,0.21411536
FrenchPolynesia6580,R,0.21311536
FrenchPolynesia6581,R,0.21111536
FrenchPolynesia6582,R,0.21111536
FrenchPolynesia6583,R,0.31611536
FrenchPolynesia6584,R,0.21111536
FrenchPolynesia6587,R,0.19311536
FrenchPolynesia6588,R,0.18311536
FrenchPolynesia6591,R,0.10411536
FrenchPolynesia6592,R,0.25011536
FrenchPolynesia6595,R,0.22711536
FrenchPolynesia6597,R,0.15911536
FrenchPolynesia6599,R,0.33711536
FrenchPolynesia6601,R,0.21111536
FrenchPolynesia6602,R,0.21111536
FrenchPolynesia6603,R,0.21111536
FrenchPolynesia6604,R,0.21011536
FrenchPolynesia6606,R,0.24411536
FrenchPolynesia6609,R,0.21011536
FrenchPolynesia6610,R,0.48611536
FrenchPolynesia6611,R,0.30411536
FrenchPolynesia6612,R,0.26411536
FrenchPolynesia6614,R,0.11311536
FrenchPolynesia6615,R,0.38211536
FrenchPolynesia6617,R,0.21511536
FrenchPolynesia6618,R,0.21111536
FrenchPolynesia6619,R,0.31611536
FrenchPolynesia6620,R,0.31611536
FrenchPolynesia6621,R,0.21311536
FrenchPolynesia6622,R,0.35211536
FrenchPolynesia6623,R,0.39011536
FrenchPolynesia6624,R,0.23011536
FrenchPolynesia6625,R,0.21111536
FrenchPolynesia6626,R,0.21111536
FrenchPolynesia6627,R,0.21111536
FrenchPolynesia6628,R,0.10411536
FrenchPolynesia6629,R,0.21111536
FrenchPolynesia6630,R,0.21011536
FrenchPolynesia6631,R,0.21211536
FrenchPolynesia6632,R,0.20911536
FrenchPolynesia6633,R,0.20911536
FrenchPolynesia6634,R,0.47711536
FrenchPolynesia6636,R,0.33111536
FrenchPolynesia6638,R,0.21011536
FrenchPolynesia6640,R,0.31811536
FrenchPolynesia6641,R,0.31811536
FrenchPolynesia6650,R,0.32311536
FrenchPolynesia6652,R,0.32311536
FrenchPolynesia6653,R,0.26111536
FrenchPolynesia6654,R,3.31511536
FrenchPolynesia6655,R,0.31511536
FrenchPolynesia6656,R,0
FrenchPolynesia6658,R,0.31511536
FrenchPolynesia6661,R,0.31611536
FrenchPolynesia6689,R,0.16911536
FrenchPolynesia6696,R,0.21111536
FrenchPolynesia6697,R,0.21211536
FrenchPolynesia6698,R,0.21111536
FrenchPolynesia6699,R,0.21111536
FrenchPolynesia6700,R,0.21011536
FrenchPolynesia6701,R,0.10511536
FrenchPolynesia6703,R,0.21111536
FrenchPolynesia6704,R,0.10511536
FrenchPolynesia6707,R,0.21111536
FrenchPolynesia6708,R,0.21111536
FrenchPolynesia6709,R,0.21111536
FrenchPolynesia6710,R,0.23811536
FrenchPolynesia6711,R,0.35311536
FrenchPolynesia6712,R,0.23311536
FrenchPolynesia6713,R,0.23011536
FrenchPolynesia6719,R,0.31811536
FrenchPolynesia6720,R,0.31811536
FrenchPolynesia6721,R,0.20811536
FrenchPolynesia6722,R,0.20811536
FrenchPolynesia6724,R,0.20811536
FrenchPolynesia6726,R,0.31311536
FrenchPolynesia6729,R,3.31311536
FrenchPolynesia6731,R,3.31311536
FrenchPolynesia6732,R,0
FrenchPolynesia6733,R,3.31911536
FrenchPolynesia6734,R,0.31411536
FrenchPolynesia6736,R,3.31911536
FrenchPolynesia6737,R,0.31911536
FrenchPolynesia6738,R,0.31611536
FrenchPolynesia6739,R,0.31511536
FrenchPolynesia6740,R,0.20911536
FrenchPolynesia6741,R,0.21011536
FrenchPolynesia6743,R,0.21111536
FrenchPolynesia6747,R,0.31911536
FrenchPolynesia6748,R,0.21211536
FrenchPolynesia6763,R,0.10311536
FrenchPolynesia6764,R,0.21311536
FrenchPolynesia6765,R,0.21311536
FrenchPolynesia6766,R,0.21311536
FrenchPolynesia6767,R,0.35911536
FrenchPolynesia6769,R,0.33411536
FrenchPolynesia6770,R,0.21011536
FrenchPolynesia6771,R,0.22711536
FrenchPolynesia6772,R,0.31611536
FrenchPolynesia6773,R,0.32011536
FrenchPolynesia6774,R,0.32011536
FrenchPolynesia6775,R,0.33911536
FrenchPolynesia6776,R,0.34111536
FrenchPolynesia6777,R,0.34211536
FrenchPolynesia6778,R,0.34611536
FrenchPolynesia6779,R,0.23011536
FrenchPolynesia6781,R,0.34911536
FrenchPolynesia6784,R,0.49911536
FrenchPolynesia6785,R,0.13711536
FrenchPolynesia6786,R,0.14111536
FrenchPolynesia6791,R,0.1031835
FrenchPolynesia6792,R,0.2091835
FrenchPolynesia6797,R,0.10511536
FrenchPolynesia6799,R,0.10311536
FrenchPolynesia6800,R,0.10511536
FrenchPolynesia6801,R,0.10411536
FrenchPolynesia6802,R,0.10411536
FrenchPolynesia6803,R,0.10411536
FrenchPolynesia6804,R,0.21011536
FrenchPolynesia6806,R,0.21011536
FrenchPolynesia6807,R,0.21011536
FrenchPolynesia6809,R,0.10411536
FrenchPolynesia6810,R,0.10411536
FrenchPolynesia6812,R,0.10411536
FrenchPolynesia6813,R,0.10411536
FrenchPolynesia6815,R,0.10411536
FrenchPolynesia6816,R,0.20911536
FrenchPolynesia6817,R,0.10311536
FrenchPolynesia6818,R,0.11411536
FrenchPolynesia6820,R,0.10811536
FrenchPolynesia6821,R,0.10811536
FrenchPolynesia6822,R,0.11111536
FrenchPolynesia6823,R,0.11811536
FrenchPolynesia6824,R,0.11811536
FrenchPolynesia6826,R,0.13011536
FrenchPolynesia6827,R,0.11911536
FrenchPolynesia6828,R,0.10311536
FrenchPolynesia6830,R,0.10411536
FrenchPolynesia6831,R,0.10411536
FrenchPolynesia6832,R,0.10411536
FrenchPolynesia6840,R,0.20811536
FrenchPolynesia6841,R,0.20811536
FrenchPolynesia6842,R,0.10311536
FrenchPolynesia6843,R,0.10411536
FrenchPolynesia6844,R,0.11011536
FrenchPolynesia6846,R,0.10311536
FrenchPolynesia6849,R,0.10311536
FrenchPolynesia6850,R,0.10311536
FrenchPolynesia6851,R,0.20811536
FrenchPolynesia6852,R,0.10311536
FrenchPolynesia6853,R,0.10411536
FrenchPolynesia6854,R,0.10411536
FrenchPolynesia6855,R,0.13211536
FrenchPolynesia6856,R,0.14211536
FrenchPolynesia6857,R,0.14211536
FrenchPolynesia6858,R,0.14211536
FrenchPolynesia6859,R,0.14311536
FrenchPolynesia6860,R,0.16211535999999999
FrenchPolynesia6861,R,0.20911536
FrenchPolynesia6862,R,0.49411536
FrenchPolynesia6863,R,0.30211536
FrenchPolynesia6864,R,0.30111536
FrenchPolynesia6865,R,0.24311536
FrenchPolynesia6866,R,0.15811536
FrenchPolynesia6867,R,0.38211536
FrenchPolynesia6868,R,0.38111536
FrenchPolynesia6869,R,0.38211536
FrenchPolynesia6870,R,0.38211536
FrenchPolynesia6871,R,0.35311536
FrenchPolynesia6872,R,0.32311536
FrenchPolynesia6873,R,0.32311536
FrenchPolynesia6874,R,0.10411536
FrenchPolynesia6875,R,0.10411536
FrenchPolynesia6876,R,0.10411536
FrenchPolynesia6877,R,0.10611536
FrenchPolynesia6878,R,0.10711536
FrenchPolynesia6879,R,0.10411536
FrenchPolynesia6881,R,0.10711536
FrenchPolynesia6882,R,0.10811536
FrenchPolynesia6883,R,0.10611536
FrenchPolynesia6884,R,0.10711536
FrenchPolynesia6885,R,0.21211536
FrenchPolynesia6886,R,0.21411536
FrenchPolynesia6887,R,0.10911536
FrenchPolynesia6888,R,0.10411536
FrenchPolynesia6889,R,0.20911536
FrenchPolynesia6890,R,0.31411536
FrenchPolynesia6891,R,0.31411536
FrenchPolynesia6892,R,0.31411536
FrenchPolynesia6893,R,0.2071835
FrenchPolynesia6896,R,0.2071835
FrenchPolynesia6897,R,0.2071835
FrenchPolynesia6898,R,0.1021835
FrenchPolynesia6899,R,0.1021835
FrenchPolynesia6900,R,0.2071835
FrenchPolynesia6901,R,0.2071835
FrenchPolynesia6905,R,0.2311835
FrenchPolynesia6907,R,0.2151835
FrenchPolynesia6908,R,0.2151835
FrenchPolynesia6910,R,0.2151835
FrenchPolynesia6911,R,0.2151835
FrenchPolynesia6914,R,0.2151835
FrenchPolynesia6915,R,0.3251835
Fiji1,R,0.2177935
Fiji2,R,0.1347935
Fiji5530,R,0.2157935
Fiji5543,R,0.0027935
Fiji5544,R,0.0027935
Fiji5545,R,0.3367935
Fiji5546,R,0.3437935
Fiji5547,R,0.3287935
Fiji5548,R,0.0027935
Fiji5550,R,3.3237935
Fiji5553,R,0.2207935
Fiji5554,R,0.3377935
Fiji5555,R,0.2457935
Fiji5557,R,3.3137935
Fiji5558,R,0.0027935
Fiji5559,R,0.0027935
Fiji5560,R,0.0027935
Fiji5561,R,0.0027935
Fiji5562,R,0.0027935
Fiji5563,R,0.0027935
Fiji5564,R,0.0027935
Fiji5565,R,0.0027935
Fiji5566,R,3.4387935
Fiji5568,R,0.0027935
Fiji5569,R,0.0027935
Fiji5570,R,0.0027935
Fiji5571,R,3.3367935
Fiji5572,R,0.3367935
Fiji5573,R,0.3367935
Fiji5574,R,0.3367935
Fiji5575,R,0.3227935
Fiji5576,R,0.3227935
Fiji5577,R,0.3227935
Fiji5580,R,0.4087935
Fiji5581,R,0.4127935
Fiji5582,R,0.2017935
Fiji5583,R,0.4127935
Fiji5584,R,0.2017935
Fiji5585,R,0.2027935
Fiji5586,R,0.2017935
Fiji5587,R,0.4117935
Fiji5588,R,0.4117935
Fiji5589,R,0.4127935
Fiji5599,R,3.3377935
Fiji5600,R,0.2097935
Fiji5601,R,0.0027935
Fiji5602,R,0.0027935
Fiji5603,R,0.3257935
Fiji5604,R,0.0027935
Fiji5605,R,0.2997935
Fiji5606,R,0.3587935
Fiji5613,R,0.2257935
Fiji5614,R,0.3457935
Fiji5615,R,0.3457935
Fiji5616,R,0.2367935
Fiji5618,R,0.3457935
Fiji5619,R,0.3367935
Fiji5625,R,0.3167935
Fiji5627,R,0.2217935
Fiji5628,R,0.3167935
Fiji5629,R,0.3317935
Fiji5631,R,0.0027935
Fiji5643,R,0.3197935
Fiji5644,R,0.0027935
Fiji5645,R,0.2097935
Fiji5646,R,0.0027935
Fiji5647,R,0.0027935
Fiji5648,R,0.3257935
Fiji5649,R,3.3257935
Fiji5650,R,0.3187935
Fiji5652,R,0.0027935
Fiji5653,R,0.0027935
Fiji5657,R,0.3167935
Fiji5658,R,0.2137935
Fiji5659,R,0.0027935
Fiji5660,R,0.3137935
Fiji5662,R,0.3197935
Fiji5663,R,0.2147935
Fiji5669,R,0.0027935
Fiji5672,R,0.3687935
Fiji5673,R,0.3647935
Fiji5675,R,0.2207935
Fiji5676,R,0.2347935
Fiji5678,R,0.2307935
Fiji5679,R,0.2187935
Fiji5680,R,0.0027935
Fiji5681,R,0.0027935
Fiji5683,R,0.2217935
Fiji5684,R,0.2217935
Fiji5685,R,0.2327935
Fiji5686,R,0.2267935
Fiji5688,R,0.2427935
Fiji5689,R,0.3717935
Fiji5690,R,0.4317935
Fiji5692,R,0.3187935
Fiji5693,R,0.3877935
Fiji5694,R,0.3267935
Fiji5695,R,0.3257935
Fiji5696,R,0.2277935
Fiji5697,R,0.1057935
Fiji5699,R,0.4107935
Fiji5700,R,0.4107935
Fiji5701,R,0.4117935
Fiji5702,R,3.4037935
Fiji5703,R,0.3407935
Fiji5704,R,0.3407935
Fiji5705,R,0.3407935
Fiji5706,R,0.3407935
Fiji5707,R,0.3407935
Fiji5708,R,0.2267935
Fiji5709,R,0.2267935
Fiji5710,R,0.3417935
Fiji5711,R,0.2277935
Fiji5712,R,0.3417935
Fiji5713,R,0.2277935
Fiji5714,R,0.3417935
Fiji5715,R,0.3417935
Fiji5716,R,0.3407935
Fiji5717,R,3.3407935
Fiji5718,R,3.3277935
Fiji5719,R,3.3447935
Fiji5720,R,0.5517935
Fiji5721,R,3.3277935
Fiji5722,R,0.3287935
Fiji5723,R,0.3237935
Fiji5724,R,3.3207935
Fiji5725,R,3.3207935
Fiji5726,R,0.3207935
Fiji5727,R,0.3217935
Fiji12078,R,0.1448941
Fiji12079,R,0.1254949
Fiji12080,R,0.3318941
Fiji12081,R,0.2318941
Fiji12082,R,0.0078941
Fiji12083,R,0.2998941
Fiji12142,R,0.2248941
Fiji12143,R,0.0078941
France5519,R,0.1091643
FrenchPolynesia6977,R,3.3261835
FrenchPolynesia6981,R,0.8801835
FrenchPolynesia6984,R,0.3121835
FrenchPolynesia6996,R,0.2951835
FrenchPolynesia6999,R,0.3131835
FrenchPolynesia7005,R,3.3161835
FrenchPolynesia7012,R,3.3131835
FrenchPolynesia7014,R,3.3141835
FrenchPolynesia7021,R,3.3521835
FrenchPolynesia7026,R,3.3141835
FrenchPolynesia7027,R,3.3141835
FrenchPolynesia7029,R,3.32111536
FrenchPolynesia7030,R,0.3141835
FrenchPolynesia7032,R,3.31911536
FrenchPolynesia7262,R,3.32111536
FrenchPolynesia7263,R,3.3171835
FrenchPolynesia7265,R,0.32911536
FrenchPolynesia7267,R,3.31811536
FrenchPolynesia7269,R,3.31811536
FrenchPolynesia7270,R,0.31911536
FrenchPolynesia7273,R,0.21111536
FrenchPolynesia7274,R,0.31911536
FrenchPolynesia7275,R,0.3231835
FrenchPolynesia7278,R,0.3131835
FrenchPolynesia7279,R,0.3131835
FrenchPolynesia7280,R,3.3131835
FrenchPolynesia7281,R,0
FrenchPolynesia7282,R,0
FrenchPolynesia7284,R,0
FrenchPolynesia7285,R,0.3121835
FrenchPolynesia7286,R,0.2071835
FrenchPolynesia7297,R,3.3121835
FrenchPolynesia7298,R,0.3121835
FrenchPolynesia7299,R,0.3121835
FrenchPolynesia7300,R,3.3121835
FrenchPolynesia7302,R,0.3131835
FrenchPolynesia7303,R,0.3131835
FrenchPolynesia7305,R,3.3131835
FrenchPolynesia7306,R,0.3131835
FrenchPolynesia7307,R,0.3131835
FrenchPolynesia6998,R,0.2071835
FrenchPolynesia7001,R,0.3111835
FrenchPolynesia7003,R,0.3111835
FrenchPolynesia7004,R,0.3111835
FrenchPolynesia7006,R,0.3121835
FrenchPolynesia7008,R,0.2071835
FrenchPolynesia7009,R,0.2071835
FrenchPolynesia7010,R,0.2071835
FrenchPolynesia7011,R,0.2071835
FrenchPolynesia7013,R,0.2071835
FrenchPolynesia7015,R,0.2071835
FrenchPolynesia7016,R,0.2071835
FrenchPolynesia7020,R,0.2251835
FrenchPolynesia7283,R,0.2071835
FrenchPolynesia7288,R,3.3121835
FrenchPolynesia7289,R,3.3121835
FrenchPolynesia7290,R,3.3121835
FrenchPolynesia7291,R,3.3121835
FrenchPolynesia7292,R,3.3111835
FrenchPolynesia7293,R,3.3111835
FrenchPolynesia7294,R,3.3121835
FrenchPolynesia7295,R,3.3121835
FrenchPolynesia7309,R,3.3111835
FrenchPolynesia7311,R,0.3111835
FrenchPolynesia7312,R,0.3111835
FrenchPolynesia7313,R,3.3121835
FrenchPolynesia7314,R,3.3121835
FrenchPolynesia7315,R,0.3121835
FrenchPolynesia7316,R,0.3121835
FrenchPolynesia7317,R,0.3121835
FrenchPolynesia7318,R,3.3121835
FrenchPolynesia7319,R,0
FrenchPolynesia7320,R,3.3111835
FrenchPolynesia7321,R,0.3111835
FrenchPolynesia7323,R,3.3151835
FrenchPolynesia7332,R,3.3131835
FrenchPolynesia7333,R,0.3131835
FrenchPolynesia7341,R,0
FrenchPolynesia7326,R,0.2111835
Madagascar9451,R,0.263959
Madagascar9452,R,0.294959
Madagascar9454,R,0.3924114
Madagascar9430,R,0.3184114
Madagascar9431,R,0.1624114
Madagascar9434,R,0.1754114
Madagascar9432,R,0.1934114
Madagascar9433,R,0.3374114
Madagascar9435,R,0.467959
Madagascar9436,R,0.393959
Madagascar9437,R,0.5274114
Madagascar9438,R,0.6444114
Madagascar9439,R,0.401959
Madagascar9440,R,0.436959
Madagascar9446,R,0.390959
Madagascar9447,R,0.422959
Madagascar9448,R,0.271959
Madagascar9449,R,0.318959
Madagascar9450,R,0.433959
Madagascar9476,R,3.341959
Madagascar9480,R,0.419959
Madagascar9481,R,0.213959
Madagascar9482,R,3.401959
Madagascar9483,R,3.491959
Madagascar9484,R,0.388959
Madagascar9485,R,0.261959
Madagascar9486,R,0.378959
Madagascar9487,R,0.222959
Madagascar9488,R,0.360959
Madagascar9501,R,0.154959
Madagascar9474,R,0.407959
Madagascar9478,R,0.197959
Madagascar9479,R,0.265959
Madagascar9442,R,0.4060371
Madagascar9443,R,0.1320371
Madagascar9444,R,0.3260371
Madagascar9445,R,0.3360371
Madagascar9453,R,0.2210371
Madagascar9455,R,0.2240371
Madagascar9456,R,0.1220371
Madagascar9462,R,0.280959
Madagascar9464,R,0.171959
Madagascar9461,R,0.232959
Madagascar9466,R,0.473959
Madagascar9467,R,0.402959
Madagascar9468,R,0.588959
Madagascar9469,R,0.574959
Madagascar9470,R,0.527959
Madagascar9471,R,0.382959
Madagascar9475,R,0.182959
Madagascar9477,R,0.179959
Madagascar9457,R,0.359959
Madagascar9458,R,0.255959
Madagascar9459,R,0.349959
Madagascar9460,R,0.243959
Madagascar9463,R,0.358959
Madagascar9494,R,0.627959
Madagascar9495,R,3.635959
Madagascar9496,R,0.3814114
Madagascar9465,R,0.350959
Madagascar9472,R,0.338959
Madagascar9473,R,0.381959
Mauritius9514,R,0.304959
Mauritius9582,R,9.3037e-4
NewCaledonia12017,R,0.1067265
NewCaledonia12023,R,0.1957265
NewZealand6073,R,0.1559804
NewZealand6077,R,0.2449804
